iter	Passed	Remaining
377	918413	296419
378	921901	294327
379	924349	291899
380	926424	289355
381	928528	286823
382	930635	284293
383	932727	281761
384	936019	279590
385	938794	277260
386	940877	274726
387	942977	272199
388	945067	269672
389	947154	267146
390	950115	264865
391	953595	262725
392	957024	260563
393	959524	258146
394	961706	255643
395	964558	253318
396	967702	251066
397	969847	248553
398	971985	246041
399	974110	243527
400	976243	241017
401	979099	238685
402	982402	236459
403	984536	233949
404	986636	231433
405	988774	228928
406	990873	226415
407	993481	224020
408	996763	221773
409	998999	219292
410	1001090	216781
411	1003200	214275
412	1005319	211774
413	1007566	209301
414	1011063	207085
415	1013415	204631
416	1015542	202134
417	1017625	199629
418	1019730	197131
419	1021882	194644
420	1025357	192406
421	1027874	189986
422	1029985	187491
423	1032080	184995
424	1034159	182498
425	1036274	180010
426	1039643	177737
427	1042233	175328
428	1044323	172836
429	1046408	170345
430	1048484	167854
431	1050562	165366
432	1053578	163024
433	1056568	160676
434	1058684	158194
435	1060771	155709
436	1062842	153224
437	1064937	150744
438	1067767	148368
439	1070833	146022
440	1072936	143544
441	1075022	141066
442	1077144	138594
443	1079240	136120
444	1082128	133746
445	1085373	131412
446	1087492	128942
447	1089632	126475
448	1091746	124006
449	1093865	121540
450	1096681	119151
451	1099968	116810
452	1102070	114342
453	1104184	111877
454	1107169	109500
455	1110813	107183
456	1114372	104853
457	1116484	102385
458	1118639	99922
459	1120759	97457
460	1122875	94993
461	1125411	92566
462	1128931	90216
463	1131076	87755
464	1133162	85291
465	1135267	82830
466	1137354	80369
467	1139594	77920
468	1143037	75552
469	1145442	73113
470	1147516	70653
471	1149626	68198
472	1151869	65751
473	1154079	63303
474	1157437	60917
475	1159938	58484
476	1162032	56030
477	1164132	53579
478	1166239	51129
479	1168328	48680
480	1171679	46282
481	1174230	43850
482	1176298	41401
483	1178398	38955
484	1180482	36509
485	1182536	34064
486	1185713	31651
487	1188608	29228
488	1190693	26784
489	1192778	24342
490	1194890	21902
491	1197010	19463
492	1200066	17039
493	1203125	14612
494	1205233	12174
495	1207304	9736
496	1209420	7300
497	1211529	4865
498	1214456	2433
499	1217503	0
