iter	Logloss
0	0.6792352418
1	0.6703540813
2	0.662248894
3	0.6553806624
4	0.6448973906
5	0.6375305352
6	0.6287048164
7	0.6215265895
8	0.6149014432
9	0.6095691868
10	0.6047870559
11	0.6001815224
12	0.5959588043
13	0.5922596868
14	0.5891497433
15	0.5850821635
16	0.5835380972
17	0.5805271467
18	0.5773614097
19	0.5752029111
20	0.5724152755
21	0.5706045541
22	0.5683183917
23	0.5658846896
24	0.5634078232
25	0.5614875552
26	0.5594435282
27	0.558256456
28	0.55615456
29	0.5539758336
30	0.5518712288
31	0.5509262569
32	0.5490733562
33	0.5463086923
34	0.5445659363
35	0.5425580379
36	0.540416003
37	0.5393201493
38	0.5384334333
39	0.5371726264
40	0.5357075716
41	0.5347074393
42	0.5334002316
43	0.5319727829
44	0.531145308
45	0.5296177053
46	0.5285911186
47	0.5270044156
48	0.5254256982
49	0.5242373596
50	0.5231489286
51	0.522072388
52	0.5204619394
53	0.5195018054
54	0.5180114922
55	0.5167860048
56	0.5155979124
57	0.5145202813
58	0.5134893676
59	0.5122149817
60	0.5115322322
61	0.5102850043
62	0.5093840409
63	0.5082852322
64	0.5073910232
65	0.5063264083
66	0.5058126576
67	0.5051640315
68	0.5040632176
69	0.5034303165
70	0.5028571489
71	0.5023090286
72	0.5018377387
73	0.5007972563
74	0.4996929597
75	0.4986341493
76	0.4980414575
77	0.4971546712
78	0.4965048139
79	0.495458914
80	0.4947265625
81	0.4939197024
82	0.4932192228
83	0.4926066198
84	0.4921211529
85	0.4912415782
86	0.4907136857
87	0.4898803007
88	0.4890195467
89	0.4885715452
90	0.4878772922
91	0.487165661
92	0.4865507362
93	0.4859643414
94	0.4851729247
95	0.4846639232
96	0.484082172
97	0.4831091273
98	0.4823306916
99	0.4813828702
100	0.4806362713
101	0.4796200975
102	0.4789927194
103	0.4781599677
104	0.4774976571
105	0.4770031844
106	0.47630668
107	0.4758128405
108	0.4752251441
109	0.4745718393
110	0.4739040408
111	0.4730751587
112	0.4726041151
113	0.471666214
114	0.4708865471
115	0.4703171084
116	0.469642837
117	0.4690137
118	0.4684811639
119	0.4673301851
120	0.4661999617
121	0.4655159458
122	0.4645709387
123	0.4638907221
124	0.4628470385
125	0.4619932851
126	0.4613870143
127	0.4607083455
128	0.4600272495
129	0.4590474857
130	0.4583237178
131	0.4574250059
132	0.4566685921
133	0.4556915723
134	0.454548966
135	0.4534267634
136	0.4519154485
137	0.4506216791
138	0.4495250163
139	0.4489158608
140	0.4477515845
141	0.4471019382
142	0.4452421425
143	0.4443207403
144	0.4433367902
145	0.4421669204
146	0.4412037259
147	0.4402847158
148	0.4396624386
149	0.4390445588
150	0.4383445718
151	0.4375505167
152	0.4366169427
153	0.4356032314
154	0.4347116608
155	0.4338353578
156	0.4324687331
157	0.431352722
158	0.4302339669
159	0.4293256864
160	0.4281784365
161	0.4273286231
162	0.4266104838
163	0.4259517966
164	0.4253317357
165	0.4243040937
166	0.4234784481
167	0.4222912351
168	0.4213915734
169	0.4204159256
170	0.4195552419
171	0.4188399873
172	0.4184041224
173	0.4172526511
174	0.4165683537
175	0.4157098864
176	0.414821517
177	0.4139835237
178	0.4133153382
179	0.4122016137
180	0.4114116394
181	0.4106128
182	0.4097796613
183	0.4091457752
184	0.4083683597
185	0.4074589182
186	0.4068150061
187	0.406077413
188	0.4053469259
189	0.4046713529
190	0.4037404173
191	0.4030039851
192	0.4021405575
193	0.4011661057
194	0.4003280772
195	0.399655037
196	0.3992083371
197	0.3984834083
198	0.3977478555
199	0.3969167924
200	0.3961069069
201	0.3951598945
202	0.3944081947
203	0.3937812387
204	0.3931132995
205	0.3925939203
206	0.3913487679
207	0.3902461599
208	0.3895459618
209	0.3885830838
210	0.3878465108
211	0.3873177388
212	0.386856897
213	0.3861847012
214	0.3851346502
215	0.384296481
216	0.3835114317
217	0.3828489452
218	0.381981859
219	0.3813150104
220	0.3809632227
221	0.3805648936
222	0.3798246972
223	0.3788438781
224	0.3783243932
225	0.3775735377
226	0.3772096837
227	0.3766983604
228	0.3763092833
229	0.3757315424
230	0.375093083
231	0.3742332788
232	0.3733227117
233	0.3726248705
234	0.3715351028
235	0.3704577179
236	0.3695734645
237	0.3689010576
238	0.3680243324
239	0.3673078466
240	0.3667489615
241	0.3658937658
242	0.3651930048
243	0.3647295597
244	0.3639817999
245	0.3633871381
246	0.36280208
247	0.3624414274
248	0.3620702562
249	0.3614316561
250	0.36115888
251	0.3604175579
252	0.3595743932
253	0.3590591651
254	0.3584572212
255	0.3577498466
256	0.3571935648
257	0.3565171124
258	0.3557210873
259	0.3551463718
260	0.3546671667
261	0.3540998739
262	0.3533688944
263	0.3528216183
264	0.3523912062
265	0.3519087998
266	0.3514863028
267	0.3505478389
268	0.3500614221
269	0.3495394396
270	0.3491198977
271	0.3486122681
272	0.3482626615
273	0.3476480885
274	0.3469270294
275	0.3462921934
276	0.3455135115
277	0.3450400053
278	0.3444305684
279	0.3438392485
280	0.3425580027
281	0.3420665554
282	0.3414981369
283	0.3409289445
284	0.3402514015
285	0.3397215742
286	0.3389237198
287	0.3383085839
288	0.3375701113
289	0.3367219161
290	0.3364346463
291	0.3361296464
292	0.3353956063
293	0.3347848678
294	0.3342344257
295	0.3333503833
296	0.3330404584
297	0.3324710197
298	0.3320062731
299	0.331293692
300	0.330931597
301	0.3302984848
302	0.3299339624
303	0.3292572637
304	0.3287847074
305	0.3283782167
306	0.3280623114
307	0.3275436357
308	0.3266762681
309	0.3260569108
310	0.3254834618
311	0.3248559078
312	0.3242963544
313	0.323646497
314	0.3229375394
315	0.3223205039
316	0.3220029803
317	0.3214861339
318	0.3209770269
319	0.320518331
320	0.3200339194
321	0.3194546307
322	0.3188664065
323	0.3182685434
324	0.3177926451
325	0.3172979261
326	0.3167229996
327	0.3160629756
328	0.3158215789
329	0.3154308484
330	0.3151493127
331	0.314803998
332	0.3143598309
333	0.3137872262
334	0.3134036017
335	0.3128319468
336	0.3122227913
337	0.3115714917
338	0.3111765749
339	0.3107160497
340	0.3102568261
341	0.3097241492
342	0.3094447243
343	0.3089286518
344	0.3081203845
345	0.307365589
346	0.3068989075
347	0.3064404227
348	0.3062340992
349	0.3059255814
350	0.3052260165
351	0.3046624527
352	0.3040449599
353	0.3035372951
354	0.3029664845
355	0.3024850983
356	0.3019114733
357	0.3013659211
358	0.3008012315
359	0.3002783344
360	0.2997050964
361	0.2992657488
362	0.2987650495
363	0.2985275576
364	0.2980297078
365	0.2975700268
366	0.2972625996
367	0.2967234499
368	0.2964616495
369	0.2958440863
370	0.2951737198
371	0.2947604221
372	0.2942554837
373	0.2938545689
374	0.2932874344
375	0.2926889381
376	0.2919101682
377	0.2912186416
378	0.2905829966
379	0.2900449901
380	0.2898060735
381	0.289484223
382	0.2890322814
383	0.2884659737
384	0.2882108397
385	0.287875463
386	0.2872963853
387	0.2867020929
388	0.2863796619
389	0.2859699348
390	0.2856343998
391	0.2854494298
392	0.2848262732
393	0.2843140704
394	0.283584885
395	0.2833570673
396	0.2827806456
397	0.2823822109
398	0.2818249793
399	0.2814218483
400	0.280695055
401	0.2801976273
402	0.2796964706
403	0.2792537282
404	0.2790313105
405	0.278555764
406	0.2779950848
407	0.2776517753
408	0.2772023841
409	0.2766065438
410	0.2762233239
411	0.2755468539
412	0.2750453806
413	0.2748350116
414	0.274618029
415	0.2739727097
416	0.273423921
417	0.2729714517
418	0.2725245231
419	0.2721588399
420	0.271835934
421	0.2714253099
422	0.2710776909
423	0.2705427978
424	0.2702518342
425	0.2698231634
426	0.269509017
427	0.2693403348
428	0.2689832352
429	0.2687507739
430	0.2683422957
431	0.2681735256
432	0.2678269444
433	0.267427982
434	0.266952541
435	0.2665117159
436	0.2663546076
437	0.2658901775
438	0.2657581516
439	0.2653508343
440	0.2648134787
441	0.2643653188
442	0.2639245113
443	0.2634216133
444	0.2629809817
445	0.2628061608
446	0.2624871422
447	0.2620824984
448	0.2617473679
449	0.2612752161
450	0.2611315988
451	0.2608432737
452	0.2606270298
453	0.2600467913
454	0.2595291885
455	0.2591912085
456	0.2587704529
457	0.2582274687
458	0.2575085555
459	0.2571110882
460	0.2569356165
461	0.2564580824
462	0.2561030935
463	0.2559043511
464	0.2557172528
465	0.2551638205
466	0.2549992014
467	0.2547861764
468	0.2545946281
469	0.2540586444
470	0.2538503861
471	0.2534194463
472	0.2529827019
473	0.2527465469
474	0.2522174582
475	0.2520464894
476	0.2515864391
477	0.2511439431
478	0.2507194761
479	0.2503681809
480	0.250175929
481	0.2497561056
482	0.2495267225
483	0.2491899386
484	0.2489448481
485	0.2487600365
486	0.2485963321
487	0.2481053069
488	0.2477696839
489	0.2475757082
490	0.2470589849
491	0.2466310353
492	0.2462519137
493	0.2458319145
494	0.2453929362
495	0.244679933
496	0.2441518822
497	0.2435868937
498	0.2431555316
499	0.2429296664
